Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001220,Female,Yes,0,Graduate,No,6554,0,181.0,360.0,1.0,Semiurban,Y
LP001221,Male,No,1,Graduate,No,4183,3280,295.0,360.0,1.0,Semiurban,Y
LP001222,Male,Yes,0,Graduate,No,1633,0,48.0,360.0,1.0,Urban,Y
LP001223,Male,Yes,0,Graduate,Yes,3790,1805,251.0,360.0,1.0,Rural,Y
LP001224,Male,No,0,Graduate,No,7913,0,149.0,240.0,1.0,Urban,Y
LP001225,Male,Yes,0,Graduate,No,4111,0,155.0,360.0,1.0,Semiurban,N
LP001226,Male,Yes,0,Not Graduate,No,4239,0,129.0,480.0,1.0,Urban,Y
LP001227,nan,Yes,0,Graduate,No,8882,0,192.0,360.0,0.0,Semiurban,N
LP001228,Male,Yes,1,Graduate,No,3206,4545,266.0,360.0,1.0,Urban,Y
LP001229,Female,nan,0,Graduate,No,1947,0,,360.0,1.0,Rural,Y
LP001230,Male,Yes,0,Graduate,No,4463,0,152.0,360.0,1.0,Rural,Y
LP001231,Female,No,2,Graduate,No,3675,1687,173.0,360.0,1.0,Semiurban,Y
LP001232,Male,Yes,0,Graduate,No,2752,0,96.0,360.0,1.0,Rural,Y
LP001233,Male,Yes,3+,Graduate,No,4423,0,145.0,360.0,1.0,Urban,Y
LP001234,Male,Yes,2,Graduate,Yes,6600,1138,234.0,360.0,0.0,Rural,N
LP001235,Male,No,1,Graduate,No,4887,7767,228.0,360.0,1.0,Semiurban,Y
LP001236,Male,Yes,1,Graduate,No,5908,3255,265.0,360.0,0.0,Urban,N
LP001237,Male,No,2,Graduate,No,14589,5408,672.0,300.0,1.0,Semiurban,Y
LP001238,Male,Yes,0,Not Graduate,No,4000,7021,213.0,360.0,,Urban,Y
LP001239,Male,No,0,Graduate,No,5808,0,125.0,360.0,1.0,Semiurban,Y
LP001240,Male,Yes,0,Graduate,No,3620,1969,223.0,360.0,,Semiurban,Y
LP001241,Female,No,2,Graduate,No,2957,5901,233.0,360.0,1.0,Semiurban,Y
LP001242,Female,No,0,Graduate,No,3460,2982,169.0,360.0,1.0,Semiurban,Y
LP001243,Female,No,1,Graduate,No,3687,4817,,360.0,1.0,Semiurban,Y
LP001244,Male,No,nan,Graduate,No,6097,0,163.0,360.0,0.0,Urban,N
LP001245,Male,No,2,Graduate,No,20119,4076,443.0,360.0,,Semiurban,Y
LP001246,Female,Yes,0,Graduate,Yes,3198,1906,162.0,480.0,1.0,Urban,Y
LP001247,Male,Yes,0,Graduate,No,3827,9483,424.0,360.0,0.0,Semiurban,Y
LP001248,Female,Yes,2,Graduate,No,4732,0,103.0,360.0,1.0,Rural,Y
LP001249,Female,No,1,Not Graduate,No,6232,0,159.0,360.0,1.0,Rural,Y
LP001250,Female,Yes,0,Graduate,nan,5756,0,213.0,360.0,1.0,Semiurban,Y
LP001251,Male,No,0,Graduate,No,10619,1481,368.0,360.0,1.0,Urban,N
LP001252,Male,Yes,3+,Graduate,No,1146,0,74.0,360.0,,Semiurban,N
LP001253,Female,Yes,1,Graduate,No,1173,0,27.0,360.0,1.0,Rural,Y
LP001254,Male,Yes,2,Graduate,No,3649,3924,245.0,360.0,1.0,Urban,Y
LP001255,Male,No,2,Graduate,No,9493,0,172.0,360.0,1.0,Semiurban,Y
LP001256,Male,Yes,1,Graduate,No,1921,2001,60.0,360.0,1.0,Semiurban,Y
LP001257,Female,Yes,0,Graduate,nan,1000,0,26.0,180.0,1.0,Semiurban,Y
LP001258,Male,Yes,0,Graduate,No,6923,3067,239.0,360.0,1.0,Urban,Y
LP001259,Male,Yes,0,Graduate,No,5688,4041,318.0,360.0,1.0,Urban,Y
LP001260,Male,Yes,0,Not Graduate,No,2555,2262,128.0,360.0,0.0,Urban,N
LP001261,Male,Yes,2,Graduate,No,2720,4343,216.0,180.0,,Urban,Y
LP001262,nan,No,1,Graduate,Yes,2746,0,91.0,360.0,1.0,Semiurban,N
LP001263,Male,Yes,2,Graduate,No,5251,0,166.0,180.0,1.0,Semiurban,Y
LP001264,Male,Yes,0,Graduate,No,3375,0,120.0,,1.0,Semiurban,Y
LP001265,Female,Yes,1,Not Graduate,No,6610,5455,364.0,360.0,1.0,Rural,Y
LP001266,Male,Yes,1,Graduate,No,1000,3361,86.0,360.0,1.0,Semiurban,Y
LP001267,Male,Yes,1,Graduate,No,2939,6679,189.0,360.0,1.0,Urban,Y
LP001268,Male,Yes,1,Graduate,No,2500,1271,148.0,360.0,1.0,Semiurban,N
LP001269,Male,Yes,0,Graduate,Yes,4214,0,96.0,360.0,,Semiurban,Y
LP001270,Male,Yes,0,Graduate,Yes,3558,1313,94.0,360.0,1.0,Urban,Y
LP001271,Female,No,0,Graduate,No,7932,1366,324.0,360.0,1.0,Urban,Y
LP001272,Female,No,0,Graduate,nan,1610,0,56.0,360.0,,Urban,Y
LP001273,Female,No,0,Graduate,No,5050,1541,195.0,360.0,1.0,Urban,N
LP001274,Female,Yes,1,Graduate,No,6870,0,154.0,360.0,1.0,Urban,N
LP001275,Male,Yes,3+,Not Graduate,No,14972,2565,413.0,360.0,1.0,Semiurban,Y
LP001276,Male,Yes,1,Not Graduate,No,3681,5356,206.0,360.0,,Urban,Y
LP001277,Female,Yes,2,Not Graduate,No,5971,0,159.0,360.0,1.0,Urban,Y
LP001278,Male,nan,0,Graduate,No,1665,982,94.0,360.0,0.0,Semiurban,N
LP001279,Male,Yes,1,Graduate,No,1170,0,46.0,360.0,1.0,Urban,Y
LP001280,Female,Yes,0,Not Graduate,No,8158,1659,271.0,360.0,1.0,Semiurban,Y
LP001281,Female,Yes,0,Graduate,No,4898,2860,297.0,480.0,1.0,Semiurban,Y
LP001282,Male,No,0,Graduate,No,9967,0,195.0,360.0,1.0,Urban,Y
LP001283,Male,Yes,0,Not Graduate,No,2155,3427,159.0,360.0,0.0,Rural,N
LP001284,Male,Yes,0,Not Graduate,No,6713,6411,366.0,360.0,1.0,Rural,Y
LP001285,Male,Yes,0,Graduate,No,15082,0,526.0,360.0,1.0,Semiurban,Y
LP001286,Male,Yes,0,Graduate,No,6322,0,103.0,360.0,1.0,Urban,Y
LP001287,Male,Yes,3+,Graduate,Yes,5801,13697,533.0,360.0,0.0,Urban,Y
LP001288,Male,Yes,0,Not Graduate,No,4940,3415,299.0,360.0,1.0,Semiurban,Y
LP001289,Male,Yes,0,Not Graduate,No,1914,0,67.0,300.0,0.0,Rural,N
LP001290,Male,Yes,0,Graduate,No,11084,0,376.0,360.0,1.0,Rural,Y
LP001291,Male,Yes,1,Graduate,No,3406,0,,360.0,1.0,Rural,Y
LP001292,Male,Yes,0,Not Graduate,No,6652,3942,321.0,360.0,1.0,Semiurban,N
LP001293,Female,Yes,0,Graduate,No,1924,0,95.0,480.0,1.0,Semiurban,Y
LP001294,Male,No,0,Graduate,Yes,2421,0,86.0,180.0,1.0,Rural,N
LP001295,Male,No,0,Not Graduate,No,11626,2386,349.0,360.0,1.0,Urban,N
LP001296,Male,Yes,0,Graduate,No,3990,3234,129.0,360.0,1.0,Rural,Y
LP001297,Male,Yes,0,Graduate,No,11754,0,411.0,360.0,,Semiurban,Y
LP001298,Male,Yes,0,Graduate,No,4689,1038,153.0,360.0,1.0,Urban,Y
LP001299,Male,Yes,0,Graduate,No,1627,753,66.0,360.0,1.0,Urban,Y
LP001300,Male,No,0,Not Graduate,No,8393,0,255.0,360.0,1.0,Semiurban,Y
LP001301,Male,Yes,2,Graduate,No,3449,0,128.0,360.0,1.0,Urban,Y
LP001302,Male,No,1,Not Graduate,Yes,7474,2214,211.0,480.0,1.0,Urban,Y
LP001303,Male,Yes,0,Graduate,No,4989,0,,360.0,1.0,Semiurban,Y
